Sr. No.,Brand,Category,Product Name,ASIN,Product URL,Sales Frequency,Title,Description,Bulletpoints(3),Grade,Spell check,Dimensions details,Sentence case,A+ content,Grade2,Main image,Additional images,Infographics,Lifestyles,Video,A+ Content3,Info/lifestyle Total,Total Images,Info present,Lifestyle present,Video present or not,A+ content4,Image quality,Product information,Remark,Score,Grade5,Final Grade,Amazon USA,Amazon UK,Amazon CA,Amazon MX,Amazon Germany,Amazon France,Amazon Italy,Amazon Spain,Amazon Netherlands,Amazon Belgium,Amazon Sweden ,Amazon Poland,Amazon Australia,Amazon Japan,Amazon Singapore,Amazon UAE
1992,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of 2 Set German Silver Oxidised Handmade Dori Work Thread Charm Choker Necklace Set with Earrings Jewellery Set for Women & Girls,B08LS99R4L,https://www.amazon.in/dp/B08LS99R4L,High,1,1,1,A,0,1,1,0,B,1,2,0,0,5,0,0,5,8,0,1,0,acceptable,available,0,54.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of 2 Set German Silver Oxidised Handmade Dori Work Thread Charm Choker Necklace Set with Earrings Jewellery Set for Women & Girls,B08LSPDC9R,https://www.amazon.in/dp/B08LSPDC9R,High,1,1,1,A,0,1,1,0,B,1,2,0,0,5,0,0,5,8,0,1,0,acceptable,available,0,54.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Yellow Chimes,Fashion Jewellery,Yellow Chimes Sparkling AD/American Diamond Latest Fashion Apple Shaped Gold Plated Dual Tone Jewellery Pendant Set with Earrings for Women & Girls,B08663VG6Z,https://www.amazon.in/dp/B08663VG6Z,High,1,1,1,A,0,1,1,0,B,1,2,0,0,0,0,0,0,3,0,0,0,acceptable,available,0,16.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Yellow Chimes,Fashion Jewellery,Yellow Chimes Sparkling AD/American Diamond Latest Fashion Half Heart Shaped Dual Tone Jewellery Pendant Set with Earrings for Women & Girls,B08663NCQC,https://www.amazon.in/dp/B08663NCQC,High,1,1,1,A,0,1,1,0,B,1,2,0,0,0,0,0,0,3,0,0,0,acceptable,available,0,16.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Sparkling American Diamond Latest Fashion Meenakari Peacock Shaped Dual Tone Jewellery Pendant Set with Earrings for Women & Girls,B08663SG17,https://www.amazon.in/dp/B08663SG17,High,1,1,1,A,0,1,1,0,B,1,2,0,0,0,0,0,0,3,0,0,0,acceptable,available,0,16.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Yellow Chimes,Fashion Jewellery,Yellow Chimes Exclusive Platinum Plated Cubic Zircon Crystal Valentain Gift Eternity Ring for Women,B082YWYKZL,https://www.amazon.in/dp/B082YWYKZL,Medium,1,1,1,A,1,1,1,0,C,1,1,0,0,0,1,0,0,2,0,0,1,acceptable,available,0,21.11%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Style Turquoise Pearl Studded Classic Gold Plated Cocktail Wedding Rings for Women & Girls,B07PLFCBKW,https://www.amazon.in/dp/B07PLFCBKW,Medium,1,1,1,A,1,1,1,0,C,1,3,0,0,1,1,0,1,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Yellow Chimes,Fashion Jewellery,Yellow Chimes Traditional Kundan Studded Stylish Classic Gold Plated Cocktail Wedding Rings for Women & Girls,B07PHF9VFG,https://www.amazon.in/dp/B07PHF9VFG,Medium,1,1,1,A,1,1,1,0,C,1,2,1,1,3,3,0,4,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stones Studded Gold Plated Cocktail Wedding Traditional Stylish Ring for Women & Girls,B07JNML88P,https://www.amazon.in/dp/B07JNML88P,Medium,1,1,1,A,1,1,1,0,C,1,1,0,0,0,2,0,0,2,0,0,1,acceptable,available,0,21.11%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Yellow Chimes,Fashion Jewellery,Yellow Chimes Traditional Ethnic Stones Studded Gold Plated Cocktail Wedding Rings for Women & Girls (Pink),B07KK75QHT,https://www.amazon.in/dp/B07KK75QHT,Medium,1,1,1,A,1,1,1,0,C,1,2,1,1,3,2,0,4,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Yellow Chimes,Fashion Jewellery,Yellow Chimes Traditional Ethnic Kundan Studded Gold Plated Cocktail Wedding Kundan Rings for Women & Girls,B07K6DZML8,https://www.amazon.in/dp/B07K6DZML8,Medium,1,1,1,A,1,1,1,0,C,1,4,0,0,1,5,0,1,6,0,1,1,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Yellow Chimes,Fashion Jewellery,Yellow Chimes 3 PCS Combo Artistic Crafted Oxidized Silver Rings for Women (Rings Set Combo -12),B08XMD1SQN,https://www.amazon.in/dp/B08XMD1SQN,Medium,1,1,1,A,1,1,1,0,C,1,2,2,2,2,1,0,4,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stylish Designer Crafted Silver Oxidized Traditional Jhumka Chandbali Earrings for Women and Girls,B07P8QZM1B,https://www.amazon.in/dp/B07P8QZM1B,High,1,1,1,B,1,1,0,1,A,1,2,0,0,1,1,1,1,4,0,1,1,acceptable,available,0,62.22%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Yellow Chimes,Fashion Jewellery,Yellow Chimes Traditional Kundan Studded Classic Style Gold Plated Crystal Cocktail Rings for Women & Girls (Round Stone Ring),B09BQM622H,https://www.amazon.in/dp/B09BQM622H,Medium,1,1,1,A,1,1,1,0,C,1,2,0,0,2,2,0,2,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Yellow Chimes,Fashion Jewellery,Yellow Chimes Traditional Kundan Studded Classic Style Gold Plated Crystal Cocktail Rings for Women & Girls (Stone Studded Ring),B09BQP46Z8,https://www.amazon.in/dp/B09BQP46Z8,Medium,1,1,1,A,1,1,1,0,C,1,2,0,0,2,1,0,2,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Yellow Chimes,Fashion Jewellery,Yellow Chimes 3 PCS Combo Artistic Crafted Oxidized Silver Rings for Women (Rings Set Combo -11),B09BQQGBCG,https://www.amazon.in/dp/B09BQQGBCG,Medium,1,1,1,A,1,1,1,0,C,1,2,0,0,2,1,0,2,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant A5 Grade AD/American Diamond Sparkling Crystal Heart 18K Rosegold Plated Celebrity Traditional Adjustable Rings for Women and Girls,B0856WP78N,https://www.amazon.in/dp/B0856WP78N,Medium,1,1,0,B,0,1,1,0,B,1,2,0,0,1,1,0,1,4,0,1,1,acceptable,available,0,42.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Yellow Chimes,Fashion Jewellery,Yellow Chimes 3 PCS Combo Artistic Crafted Oxidized Silver Rings for Women,B07M788QXN,https://www.amazon.in/dp/B07M788QXN,Medium,1,1,1,A,1,1,1,0,C,1,1,1,1,4,2,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Yellow Chimes,Fashion Jewellery,Yellow Chimes 2 PC Combo Artistic Crafted Oxidized Silver Cocktail Rings for Women (Ring Set Combo-5),B07Q7FSYXQ,https://www.amazon.in/dp/B07Q7FSYXQ,Medium,1,1,1,A,1,1,1,0,C,1,5,0,0,2,1,0,2,8,0,1,1,acceptable,available,0,64.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Yellow Chimes,Fashion Jewellery,Yellow Chimes 3 PCS Combo Artistic Crafted Silver Oxidized Traditional Rings for Women (Rings Set Combo-6),B07RL6ZGCX,https://www.amazon.in/dp/B07RL6ZGCX,Medium,1,1,0,B,0,1,1,0,B,1,2,1,1,3,2,0,4,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Yellow Chimes,Fashion Jewellery,Yellow Chimes Artistic Crafted Oxidized Gold Plated Traditional Rings for Women and Girls,B07RR7G49G,https://www.amazon.in/dp/B07RR7G49G,Medium,1,1,1,A,1,1,1,0,C,1,2,0,0,2,1,0,2,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Yellow Chimes,Fashion Jewellery,Yellow Chimes 3 PCS Combo Artistic Crafted Oxidized Silver Rings for Women (Rings Set Combo -14),B09M8LCNCR,https://www.amazon.in/dp/B09M8LCNCR,Medium,1,1,1,A,1,1,1,0,C,1,2,0,0,3,1,0,3,6,0,1,1,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Yellow Chimes,Fashion Jewellery,Yellow Chimes 3 PCS Combo Artistic Crafted Oxidized Silver Rings for Women (Rings Set Combo -13),B09MHTH82V,https://www.amazon.in/dp/B09MHTH82V,Medium,1,1,0,B,0,1,1,0,B,1,1,2,2,3,1,0,5,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Yellow Chimes,Fashion Jewellery,Yellow Chimes Traditional Kundan Studded Stylish Classic Gold Plated Cocktail Wedding Rings for Women & Girls,B07P41L13J,https://www.amazon.in/dp/B07P41L13J,Medium,1,1,1,A,1,1,1,0,C,1,2,0,0,1,1,0,1,4,0,1,1,acceptable,available,0,42.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Yellow Chimes,Fashion Jewellery,Yellow Chimes German Oxidized Silver Combo Of 3 Pcs Artistic Crafted Traditional Stud Earrings With Ring For Women & Girl,B0821L6CGH,https://www.amazon.in/dp/B0821L6CGH,High,1,1,1,A,1,1,1,0,C,1,1,0,0,2,0,0,2,4,0,1,0,acceptable,available,0,32.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Yellow Chimes,Fashion Jewellery,Yellow Chimes German Oxidized Silver Combo Of 3 Pcs Artistic Crafted Traditional Crystal Stud Earrings With Ring For Women & Girl,B0821KCLHX,https://www.amazon.in/dp/B0821KCLHX,High,1,1,1,A,1,1,1,0,C,1,2,2,2,2,1,0,4,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Yellow Chimes,Fashion Jewellery,Yellow Chimes Exclusive Set of 2 Pcs Designer Handmade Dori Worked Kundan Studded Gold Plated Bhaiya Bhabhi Combo Rakhi Bracelet with Roli & Chawal,B08C5K34WN,https://www.amazon.in/dp/B08C5K34WN,Medium,1,1,1,A,0,1,1,0,B,1,3,0,0,1,0,0,1,5,0,1,0,acceptable,available,0,37.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Set of 2 Pcs Designer Handmade Dori Worked Kundan Studded Gold Plated Bhaiya Bhabhi Combo Rakhi Bracelet with Roli & Chawal,B08C55X3DB,https://www.amazon.in/dp/B08C55X3DB,Medium,1,1,1,A,0,1,1,0,B,1,4,0,0,1,0,0,1,6,0,1,0,acceptable,available,0,43.33%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Yellow Chimes,Fashion Jewellery,Yellow Chimes Silver Oxidized 3 Pairs Combo German Silver Designer Toe Ring for Women and Girls (3 Pair Design 2),B09BQL31KS,https://www.amazon.in/dp/B09BQL31KS,Medium,1,1,1,A,0,1,1,0,B,1,3,0,0,2,1,0,2,6,0,1,1,acceptable,available,0,53.33%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Yellow Chimes,Fashion Jewellery,Yellow Chimes Silver Oxidized 5 Pairs Combo German Silver Designer Toe Ring for Women and Girls (5 Pair Combo),B09BQLC5GW,https://www.amazon.in/dp/B09BQLC5GW,Medium,1,1,1,A,0,1,1,0,B,1,2,0,0,1,1,0,1,4,0,1,1,acceptable,available,0,42.22%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Body Scrub (100 g),B07K4BFQK1,https://www.amazon.in/dp/B07K4BFQK1,High,1,1,1,A,1,1,1,1,A,1,0,6,1,5,1,7,8,1,1,1,1,acceptable,available,,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Face Wash (100 ml),B07K4CLWQR,https://www.amazon.in/dp/B07K4CLWQR,High,1,1,1,A,1,1,1,1,A,1,0,6,1,1,1,7,8,1,1,1,1,acceptable,available,,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Face Scrub (100 g),B07K4JWGV9,https://www.amazon.in/dp/B07K4JWGV9,High,1,1,1,A,1,1,1,1,A,1,0,5,1,0,1,6,7,1,1,0,1,acceptable,available,,79%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Face Mask (100 g),B07PY6QB7N,https://www.amazon.in/dp/B07PY6QB7N,High,1,1,1,A,1,1,1,1,A,1,0,6,1,1,1,7,8,1,1,1,1,acceptable,available,,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,mCaffeine,Beauty,mCaffeine Naked & Rich Choco Body Butter (250 g),B07Q1GBL9K,https://www.amazon.in/dp/B07Q1GBL9K,High,1,1,1,A,1,1,1,1,A,1,0,6,1,2,1,7,8,1,1,1,1,acceptable,available,,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Body Lotion (200 ml),B07YL51LP7,https://www.amazon.in/dp/B07YL51LP7,High,1,1,1,A,1,1,1,1,A,1,0,6,1,1,1,7,8,1,1,1,1,acceptable,available,,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,mCaffeine,Beauty,mCaffeine Naked & Rich Choco Body Lotion (200 ml),B07YL69GCF,https://www.amazon.in/dp/B07YL69GCF,High,1,1,1,A,1,1,1,1,A,1,1,5,1,0,1,6,8,1,1,0,1,acceptable,available,,84%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Under Eye Cream (30 ml),B082D6G88C,https://www.amazon.in/dp/B082D6G88C,High,1,1,1,A,1,1,1,1,A,1,0,7,1,2,1,8,9,1,1,1,1,acceptable,available,,100%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,mCaffeine,Beauty,mCaffeine Naked & Raw Coffee Face Serum (40 ml),B082DH3M9T,https://www.amazon.in/dp/B082DH3M9T,High,1,1,1,A,1,1,1,1,A,1,0,7,1,1,1,8,9,1,1,1,1,acceptable,available,,100%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,mCaffeine,Beauty,yellow chimes,B08X7D5TQZ,https://www.amazon.in/dp/B08X7D5TQZ,High,1,1,1,A,1,1,1,1,A,1,0,6,1,0,1,7,8,1,1,0,1,acceptable,available,,84%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,mCaffeine,Beauty,mCaffeine Naked & Raw Cappuccino Coffee foaming  Face Wash,B09712J8TX,https://www.amazon.in/dp/B09712J8TX,High,1,1,1,A,1,1,1,1,A,1,0,5,1,0,1,6,7,1,1,0,1,acceptable,available,,79%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,mCaffeine,Beauty,mCaffeine Espresso Coffee Bathing Bar (100 gm),B08QVVYFDK,https://www.amazon.in/dp/B08QVVYFDK,High,1,1,1,A,1,1,1,1,A,1,0,6,1,1,1,7,8,1,1,1,1,acceptable,available,,94%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,mCaffeine,Beauty,mCaffeine Valentine Moment Skin Care Gift Set | Heavenly Coffee Aroma packed in a Premium Gift Box |Signature Body Scrub + Face Wash and Scrub with Brew Scoop and Towel,B07NWXRTKZ,https://www.amazon.in/dp/B07NWXRTKZ,High,1,1,1,A,1,1,1,1,A,1,0,5,1,1,1,6,7,1,1,1,1,acceptable,available,,89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,mCaffeine,Beauty,mCaffeine Be Date Ready Body Polishing Gift Hamper for Valentine | Surprise Your Loved Ones with Signature Coffee Body Scrub and Body Butter in a Premium Box,B07W7QQX4L,https://www.amazon.in/dp/B07W7QQX4L,High,1,1,1,A,1,1,1,1,A,1,0,5,1,0,1,6,7,1,1,0,1,acceptable,available,,79%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,mCaffeine,Beauty,"mCaffeine Coffee Mood Skin Care Gift Set For Men and Women| Signature Body Scrub, Face Wash, Scrub & Mask with Brew Scoop and Face Towel | Valentine Gift",B07W5Q9BMK,https://www.amazon.in/dp/B07W5Q9BMK,High,1,1,1,A,1,1,1,1,A,1,0,5,1,0,1,6,7,1,1,0,1,acceptable,available,,79%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,AADAR,Health & Personal Care,AADAR STRAIGHT UP Oil | Modern Ayurvedic Solution with 10 herbs | Increase Power and Energy | Lavang & Babchi (30 ml) (pack of 2),B09W9F13FV,https://www.amazon.in/dp/B09W9F13FV,,1,1,1,A,1,1,1,0,B,1,0,2,1,1,0,3,4,1,1,1,0,acceptable,available,,52%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,AADAR,Health & Personal Care,AADAR Ayurveda Pure Himalayan Shilajit Resin | Pure Shilajit Resin | 15gm (Pack of 1),B09SB37J35,https://www.amazon.in/dp/B09SB37J35,,1,1,1,A,1,1,0,1,B,1,2,1,1,1,1,2,5,1,1,1,1,acceptable,available,,78%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,AADAR,Health & Personal Care,AADAR RELAX PRO | For Fast Constipation Relief and Gastric Troubles | Helps in Indigestion and Regulates Bowel Movement | 60 Capsules (Pack of 2),B07WN1Q56X,https://www.amazon.in/dp/B07WN1Q56X,,1,1,1,A,0,1,0,1,C,1,1,4,1,1,1,5,7,1,1,1,1,acceptable,available,,89%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,AADAR,Health & Personal Care,"AADAR Re-LAX Constipation Relief, Ayurvedic Digestion Support and Bowel Wellness Capsules, 60 units - with Senna, Harade, Ajwain",B07GQC7VYD,https://www.amazon.in/dp/B07GQC7VYD,,1,1,1,A,1,1,1,1,A,1,1,4,1,1,1,5,7,1,1,1,1,acceptable,available,,89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,AADAR,Health & Personal Care,AADAR POWER BUILD | Ayurvedic Muscle Gain Capsules | Helps in Muscle Recovery and Improves Performance | 30 Capsules (Pack 1),B08R7MWYLG,https://www.amazon.in/dp/B08R7MWYLG,,1,1,0,B,1,1,1,1,A,1,2,3,0,1,1,3,6,1,0,1,1,acceptable,available,,73%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,AADAR,Health & Personal Care,"AADAR Perfor-man-ce Pack |Specially formulated for Men | Safed Musli, Ashwagandha, Jaiphal (60 capsules & 30 ml oil)",B0BMGP2R7V,https://www.amazon.in/dp/B0BMGP2R7V,,1,1,1,A,1,1,0,0,C,1,0,1,0,0,0,1,2,1,0,0,0,acceptable,available,,21%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,AADAR,Health & Personal Care,"AADAR EN-DURE Capsule | Specially formulated for Men | Gokhru, Musli, Shatavari | 60 Capsules",B0BKWJPR1S,https://www.amazon.in/dp/B0BKWJPR1S,,1,1,1,A,1,1,0,0,C,1,1,2,0,0,0,2,4,1,0,0,0,acceptable,available,,32%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,AADAR,Health & Personal Care,AADAR ENDURE Oil Modern Ayurveda with 10 herbs Shilajit & Musli (30 ml) (Pack of 2),B09W9DR6ZM,https://www.amazon.in/dp/B09W9DR6ZM,,1,1,1,A,1,1,0,0,C,1,0,2,0,1,0,2,3,1,0,1,0,acceptable,available,,37%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,AADAR,Health & Personal Care,AADAR WEIGHT NO MORE | Natural Weight Loss & fat loss / fat cutter Supplement | 120 Capsules | Belly Fat Burner for Women and Men,B07V2R937Q,https://www.amazon.in/dp/B07V2R937Q,,1,1,1,A,0,1,0,1,C,1,3,2,0,2,1,2,6,1,0,1,1,acceptable,available,,73%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,AADAR,Health & Personal Care,"AADAR Re-LAX for Constipation Relief, Good Digestion and Gastric Wellness, 90 gm - with Senna, Haritaki (Harade), Ajwain",B07D7ZV3ZD,https://www.amazon.in/dp/B07D7ZV3ZD,,1,1,1,A,1,1,0,1,B,1,1,3,1,2,1,4,6,1,1,1,1,acceptable,available,,83%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,AADAR,Health & Personal Care,"AADAR GOOD PERIOD | For Hormone Balance, PCOS, Period Pain relief and Mood Swings | Shatavari, Ashoka, Turmeric for Women’s Health | 60 Capsules",B085DJ9BXM,https://www.amazon.in/dp/B085DJ9BXM,,1,1,1,A,0,1,0,1,C,1,2,3,1,2,1,4,7,1,1,1,1,acceptable,available,,89%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,AADAR,Health & Personal Care,AADAR RELAX PRO | For Fast Constipation Relief and Gastric Troubles | Helps in Indigestion and Regulates Bowel Movement | 60 Capsules (Pack of 1),B07V4ZBHML,https://www.amazon.in/dp/B07V4ZBHML,,1,1,1,A,0,1,0,1,C,1,2,3,1,1,1,4,7,1,1,1,1,acceptable,available,,89%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,AADAR,Health & Personal Care,"AADAR Re-LAX – Relief from Constipation, Acidity, IBS and Gastric Issues – 60 Capsules (Pack of 2)",B07GPRX94F,https://www.amazon.in/dp/B07GPRX94F,,1,1,1,A,0,1,0,1,C,1,2,3,1,1,1,4,7,1,1,1,1,acceptable,available,,89%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,AADAR,Health & Personal Care,"AADAR NATURAL OMEGA 3 | Vegan Omega 3 fatty acid and Immunity Supplement for Men and Women | Flaxseed, Arjuna, Walnut - No Fish Oil | 60 Capsules",B085D9LXMH,https://www.amazon.in/dp/B085D9LXMH,,1,1,1,A,1,1,0,1,B,1,3,2,0,2,1,2,6,1,0,1,1,acceptable,available,,73%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,AADAR,Health & Personal Care,AADAR RELAX PRO | For Fast Constipation Relief and Gastric Troubles | Helps in Indigestion and Regulates Bowel Movement | 60 Capsules (Pack of 3),B09MRYZ653,https://www.amazon.in/dp/B09MRYZ653,,1,1,1,A,1,1,0,1,B,1,2,3,1,1,1,4,7,1,1,1,1,acceptable,available,,89%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,AADAR,Health & Personal Care,"AADAR EN-DURE Capsule and Oil|Specially formulated for Men | Shatavari, musli, shilajit (60 capsules and 30 ml oil)",B0BH8XLTQ4,https://www.amazon.in/dp/B0BH8XLTQ4,,1,1,1,A,0,1,0,0,C,1,0,4,1,0,0,5,6,1,1,0,0,acceptable,available,,53%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,AADAR,Health & Personal Care,"AADAR Ortho Sure Pain Relief Oil, Fast Relief Muscle Pain Oil, Joint Pain Relief Oil, Arthritis Pain Relief Ayurvedic Pain Oil | Shallaki, Hadjod, and Mahanarayan Oil | 100 Ml",B08V5PJ2N6,https://www.amazon.in/dp/B08V5PJ2N6,,1,1,1,A,0,1,0,1,C,1,1,3,1,1,1,4,6,1,1,1,1,acceptable,available,,83%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,AADAR,Health & Personal Care,"AADAR STRAIGHT UP Combo for real strength, energy booster for Men (Ashwagandha, Ginseng, Kaunch, Lavang, Babchi) (60 Capsules and 30 ml Oil)",B09XR5LNKM,https://www.amazon.in/dp/B09XR5LNKM,,1,1,1,A,0,1,0,0,C,1,0,1,0,0,0,1,2,1,0,0,0,acceptable,available,,21%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,AADAR,Health & Personal Care,"AADAR PerforMANce | Ayurvedic Strength Booster | Stamina and Vitality for Men | Safed Musli, Ashwagandha, Gokshura | 60 Capsules (Pack of 2)",B08HPCSQ4S,https://www.amazon.in/dp/B08HPCSQ4S,,1,1,1,A,0,1,0,0,C,1,2,3,0,1,0,3,6,1,0,1,0,acceptable,available,,53%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,AADAR,Health & Personal Care,"AADAR ReLAX Constipation Relief Ayurvedic Powder for Kabz, Acidity, Bowel and Gastric Issues, 90 GM (Pack of 2) – Natural Laxative",B07GLPKKVG,https://www.amazon.in/dp/B07GLPKKVG,,1,1,1,A,0,1,0,1,C,1,1,3,1,1,1,4,6,1,1,1,1,acceptable,available,,83%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,AADAR,Health & Personal Care,AADAR Ayurvedic Combo pack | Performance Capsule & Power Build Capsule | Helps in Muscle Recovery and Improves strength (60 Capsule + 30 Capsule),B094ZFWV42,https://www.amazon.in/dp/B094ZFWV42,,1,1,1,A,0,1,0,0,C,1,1,1,0,1,0,1,3,1,0,1,0,acceptable,available,,37%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,AADAR,Health & Personal Care,"AADAR GOOD HERBS Hair Oil | Ayurvedic Hair Fall and Damage Control | Supports Hair Growth | Red Onion, Bhringraj, Hibiscus, Virgin Coconut made with vedic pak vidhi | 100ml",B08V5CY7FR,https://www.amazon.in/dp/B08V5CY7FR,,1,1,1,A,0,1,0,1,C,1,2,4,1,1,1,5,8,1,1,1,1,acceptable,available,,94%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,AADAR,Health & Personal Care,"AADAR Immunity Pro | Ayurvedic Immunity boosters for Adults |Support Natural Immunity and Energy | Giloy, Amla, Ashwagandha | 60 Capsules (Pack of 1)",B08CBLDJVP,https://www.amazon.in/dp/B08CBLDJVP,,1,1,1,A,0,1,0,1,C,1,2,3,0,0,1,3,6,1,0,0,1,acceptable,available,,63%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
